DATA;Livello invaso                              (m s.l.m.);Volume invaso                             (m3);Pioggia Ridracoli                        (mm);Apporto mc/giorno;Prelievi m3/giorno
1/1/2015;548,32;24627147;0,8;69304,56768;-145627,5677
2/1/2015;548,23;24550824;8,6;101375,3664;-109846,3664
3/1/2015;548,22;24542353;0,0;289284,2208;-25790,2208
4/1/2015;548,53;24805847;0,0;440470,7424;-243764,7424
5/1/2015;548,76;25002553;0,0;257716,944;-180464,944
6/1/2015;548,85;25079805;0,0;158244,3648;-123858,3648
7/1/2015;548,89;25114191;0,2;140977,6704;-123773,6704
8/1/2015;548,91;25131395;0,0;135142,4736;-143745,4736
9/1/2015;548,9;25122792;0,0;120342,24;-146140,24
10/1/2015;548,87;25096994;0,0;111354,9984;-102756,9984
11/1/2015;548,88;25105592;0,4;102218,1984;-119411,1984
12/1/2015;548,86;25088399;0,0;113636,736;-122230,736
13/1/2015;548,85;25079805;0,0;85853,9952;-111621,9952
14/1/2015;548,82;25054037;0,2;78610,40064;-121518,4006
15/1/2015;548,77;25011129;0,0;81472,49568;-115764,4957
16/1/2015;548,73;24976837;3,0;90500,0256;-124760,0256
17/1/2015;548,69;24942577;12,6;121810,176;-113248,176
18/1/2015;548,7;24951139;0,0;118076,0544;-126638,0544
19/1/2015;548,69;24942577;0,2;94485,312;-120160,312
20/1/2015;548,66;24916902;4,0;94270,0032;-119927,0032
21/1/2015;548,63;24891245;7,0;120736,224;-95079,224
22/1/2015;548,66;24916902;11,2;296157,0816;-30003,0816
23/1/2015;548,97;25183056;10,6;557469,3024;-124220,3024
24/1/2015;549,47;25616305;0,0;445009,4208;-209009,4208
25/1/2015;549,74;25852305;2,6;282581,568;-159643,568
26/1/2015;549,88;25975243;0,0;189626,5728;-128012,5728
27/1/2015;549,95;26036857;0,0;166184,0928;-130932,0928
28/1/2015;549,99;26072109;0,0;126065,6352;-134881,6352
29/1/2015;549,98;26063293;24,6;224470,3968;469142,6032
30/1/2015;550,76;26756906;34,4;1841952,96;-510848,96
31/1/2015;552,22;28088010;0,2;572515,344;-256332,344
1/2/2015;552,56;28404193;2,2;339410,2176;-171063,2176
2/2/2015;552,74;28572540;0,4;228534,9984;-125329,9984
3/2/2015;552,85;28675745;2,2;228278,4768;-124825,4768
4/2/2015;552,96;28779198;18,4;233431,2864;-120290,2864
5/2/2015;553,08;28892339;23,6;472758,0768;-7688,0768
6/2/2015;553,57;29357409;6,6;507070,0224;-248688,0224
7/2/2015;553,84;29615791;2,8;317683,9872;-183112,9872
8/2/2015;553,98;29750362;27,2;260116,3584;-125138,3584
9/2/2015;554,12;29885340;17,0;252035,5392;-174722,5392
10/2/2015;554,2;29962653;25,0;264955,2768;-139037,2768
11/2/2015;554,33;30088571;0,0;338873,5872;-144465,5872
12/2/2015;554,53;30282979;0,0;385418,8224;-141231,8224
13/2/2015;554,78;30527166;0,0;366538,0896;-189913,0896
14/2/2015;554,96;30703791;0,2;399504,6144;-113510,6144
15/2/2015;555,25;30989785;0,2;615465,5616;-128204,5616
16/2/2015;555,74;31477046;7,4;736890,48;-42116,48
17/2/2015;556,43;32171820;2,0;891773,28;-422949,28
18/2/2015;556,89;32640644;0,0;510086,6784;-366500,6784
19/2/2015;557,03;32784230;0,2;330725,7216;-351263,7216
20/2/2015;557,01;32763692;0,0;254724,2208;-306031,2208
21/2/2015;556,96;32712385;1,6;213662,3616;-254670,3616
22/2/2015;556,92;32671377;10,2;480477,6576;-213314,6576
23/2/2015;557,18;32938540;1,2;522488,5344;-336677,5344
24/2/2015;557,36;33124351;11,4;401086,5984;-349348,5984
25/2/2015;557,41;33176089;25,8;455606,3808;-507344,3808
26/2/2015;557,36;33124351;5,2;336696,9984;-357376,9984
27/2/2015;557,34;33103671;0,0;303606,8352;-303606,8352
28/2/2015;557,34;33103671;0,2;288121,104;-319125,104
1/3/2015;557,31;33072667;0,2;266802,9408;-287461,9408
2/3/2015;557,29;33052008;4,8;462338,064;-389995,064
3/3/2015;557,36;33124351;0,0;269696,304;-352365,304
4/3/2015;557,28;33041682;22,8;266653,8144;-163295,8144
5/3/2015;557,38;33145040;23,0;395388,5184;-478092,5184
6/3/2015;557,3;33062336;5,2;277206,4512;-287534,4512
7/3/2015;557,29;33052008;0,0;297605,664;-276946,664
8/3/2015;557,31;33072667;0,0;297608,256;-328593,256
9/3/2015;557,28;33041682;0,0;256277,4336;-297560,4336
10/3/2015;557,24;33000399;0,2;217099,872;-196462,872
11/3/2015;557,26;33021036;0,0;180862,848;-160216,848
12/3/2015;557,28;33041682;0,0;205558,56;-184904,56
13/3/2015;557,3;33062336;0,0;181116,864;-201770,864
14/3/2015;557,28;33041682;0,0;160273,728;-191238,728
15/3/2015;557,25;33010717;12,0;167308,7616;-146667,7616
16/3/2015;557,27;33031358;25,8;350317,872;-298676,872
17/3/2015;557,32;33082999;14,6;768479,0112;-840761,0112
18/3/2015;557,25;33010717;0,0;390563,2512;-297609,2512
19/3/2015;557,34;33103671;0,0;323335,7568;-344007,7568
20/3/2015;557,32;33082999;0,0;269161,6608;-310478,6608
21/3/2015;557,28;33041682;0,2;225256,896;-297478,896
22/3/2015;557,21;32969460;8,6;225258,7968;-256178,7968
23/3/2015;557,18;32938540;4,0;338680,8288;-318069,8288
24/3/2015;557,2;32959151;0,6;276813,5904;-307726,5904
25/3/2015;557,17;32928238;61,2;1112895,072;-906439,072
26/3/2015;557,37;33134694;14,8;1584212,256;-1790668,256
27/3/2015;557,17;32928238;19,6;531568,224;-294069,224
28/3/2015;557,4;33165737;0,2;439780,1472;-460477,1472
29/3/2015;557,38;33145040;0,0;429252,9984;-439598,9984
30/3/2015;557,37;33134694;0,0;333282,6432;-364305,6432
31/3/2015;557,34;33103671;0,0;272208,0384;-303212,0384
1/4/2015;557,31;33072667;0,0;287830,368;-308489,368
2/4/2015;557,29;33052008;0,0;225158,4;-318015,4
3/4/2015;557,2;32959151;0,0;194370,8832;-317908,8832
4/4/2015;557,08;32835613;26,4;245830,896;-81044,896
5/4/2015;557,24;33000399;24,8;663180,048;-539228,048
6/4/2015;557,36;33124351;0,0;330148,8288;-350828,8288
7/4/2015;557,34;33103671;2,2;269186,2848;-310521,2848
8/4/2015;557,3;33062336;0,0;227954,736;-186619,736
9/4/2015;557,34;33103671;0,0;198717,9264;-188378,9264
10/4/2015;557,35;33114010;0,0;222672,4128;-222672,4128
11/4/2015;557,35;33114010;0,0;182936,9664;-203612,9664
12/4/2015;557,33;33093334;0,0;165539,9808;-165539,9808
13/4/2015;557,33;33093334;0,0;165964,5504;-196962,5504
14/4/2015;557,3;33062336;0,0;169593,5232;-169593,5232
15/4/2015;557,3;33062336;0,0;185497,344;-185497,344
16/4/2015;557,3;33062336;0,0;169092,7488;-189746,7488
17/4/2015;557,28;33041682;3,0;161632,9728;-192597,9728
18/4/2015;557,25;33010717;7,4;151088,1984;-161406,1984
19/4/2015;557,24;33000399;0,2;163404,6912;-204652,6912
20/4/2015;557,2;32959151;0,0;127767,024;-179279,024
21/4/2015;557,15;32907639;0,0;118534,752;-190560,752
22/4/2015;557,08;32835613;0,0;105402,9024;-197852,9024
23/4/2015;556,99;32743163;0,8;96433,3728;-157970,3728
24/4/2015;556,93;32681626;0,4;98301,4272;-169996,4272
25/4/2015;556,86;32609931;0,2;94792,032;-176601,032
26/4/2015;556,78;32528122;9,0;111332,016;-152185,016
27/4/2015;556,74;32487269;10,6;135672,2784;-145880,2784
28/4/2015;556,73;32477061;8,8;155972,736;-135554,736
29/4/2015;556,75;32497479;3,0;195805,8144;-175379,8144
30/4/2015;556,77;32517905;0,4;173295,2448;-183509,2448
1/5/2015;556,76;32507691;0,0;133932,528;-164562,528
2/5/2015;556,73;32477061;0,8;120864,7872;-182066,7872
3/5/2015;556,67;32415859;0,0;107886,2112;-169012,2112
4/5/2015;556,61;32354733;0,0;94859,856;-155907,856
5/5/2015;556,55;32293685;0,0;74689,76736;-155967,7674
6/5/2015;556,47;32212407;0,0;92734,0704;-184008,0704
7/5/2015;556,38;32121133;0,0;60419,52;-151520,52
8/5/2015;556,29;32030032;0,2;65845,7424;-156774,7424
9/5/2015;556,2;31939103;0,0;57398,31936;-178368,3194
10/5/2015;556,08;31818133;0,0;59195,29248;-159770,2925
11/5/2015;555,98;31717558;0,0;45925,66944;-136260,6694
12/5/2015;555,89;31627223;0,0;55557,24768;-155728,2477
13/5/2015;555,79;31527052;0,0;37161,69408;-157087,6941
14/5/2015;555,67;31407126;0,0;28352,30688;-138016,3069
15/5/2015;555,56;31297462;1,0;43370,30304;-182572,303
16/5/2015;555,42;31158260;2,8;37525,464;-116883,464
17/5/2015;555,34;31078902;0,0;42704,61696;-161489,617
18/5/2015;555,22;30960117;0,2;34252,90848;-152733,9085
19/5/2015;555,1;30841636;0,0;29372,39712;-157385,3971
20/5/2015;554,97;30713623;2,0;36354,23424;-144395,2342
21/5/2015;554,86;30605582;2,2;34779,83616;-132778,8362
22/5/2015;554,76;30507583;54,4;333936,5184;118597,4816
23/5/2015;555,22;30960117;20,6;753025,248;-296034,248
24/5/2015;555,68;31417108;11,2;468911,808;-198592,808
25/5/2015;555,95;31687427;0,4;279190,0224;-218909,0224
26/5/2015;556,01;31747708;18,2;264527,2512;-42842,2512
27/5/2015;556,23;31969393;12,6;651096,8352;-194435,8352
28/5/2015;556,68;32426054;0,2;330924,6144;-228856,6144
29/5/2015;556,78;32528122;0,2;190043,5392;-200260,5392
30/5/2015;556,77;32517905;0,0;144459,936;-195509,936
31/5/2015;556,72;32466855;0,0;106167,456;-177547,456
1/6/2015;556,65;32395475;0,0;101275,92;-203065,92
2/6/2015;556,55;32293685;0,0;74290,24512;-175866,2451
3/6/2015;556,45;32192109;0,0;71788,12704;-163024,127
4/6/2015;556,36;32100873;0,0;67952,32992;-179228,3299
5/6/2015;556,25;31989597;0,0;55316,66688;-176413,6669
6/6/2015;556,13;31868500;0,0;47698,05312;-178542,0531
7/6/2015;556;31737656;0,0;62300,97504;-182760,975
8/6/2015;555,88;31617196;0,0;42902,0928;-173055,0928
9/6/2015;555,75;31487043;0,4;42322,0896;-162146,0896
10/6/2015;555,63;31367219;3,6;60475,53312;-179994,5331
11/6/2015;555,51;31247700;4,2;39100,44096;-148392,441
12/6/2015;555,4;31138408;0,2;47506,0464;-196129,0464
13/6/2015;555,25;30989785;0,0;32523,97536;-180672,9754
14/6/2015;555,1;30841636;10,6;52761,90528;-161103,9053
15/6/2015;554,99;30733294;7,4;62377,76736;-160649,7674
16/6/2015;554,89;30635022;0,0;39511,20384;-166950,2038
17/6/2015;554,76;30507583;14,2;58701,27456;-146721,2746
18/6/2015;554,67;30419563;0,0;43717,63968;-190041,6397
19/6/2015;554,52;30273239;0,2;33614,75808;-160047,7581
20/6/2015;554,39;30146806;6,8;26303,33088;-142698,3309
21/6/2015;554,27;30030411;0,2;58309,60608;-193723,6061
22/6/2015;554,13;29894997;0,0;25814,82528;-160821,8253
23/6/2015;553,99;29759990;0,0;19189,11168;-163388,1117
24/6/2015;553,84;29615791;16,8;59280,24096;-193444,241
25/6/2015;553,7;29481627;0,2;30555,93024;-173852,9302
26/6/2015;553,55;29338330;0,0;17961,27264;-170299,2726
27/6/2015;553,39;29185992;0,8;14418,6912;-185167,6912
28/6/2015;553,21;29015243;0,2;28662,41376;-170443,4138
29/6/2015;553,06;28873462;0,0;17578,52064;-168302,5206
30/6/2015;552,9;28722738;0,0;24084,1296;-193020,1296
1/7/2015;552,72;28553802;0,0;-3155,302944;-174446,6971
2/7/2015;552,53;28376200;0,0;16365,90528;-202519,9053
3/7/2015;552,33;28190046;0,0;5775,663744;-209602,6637
4/7/2015;552,11;27986219;0,0;12566,26656;-215410,2666
5/7/2015;551,89;27783375;0,0;5289,457248;-188840,4572
6/7/2015;551,69;27599824;0,0;6316,17696;-189059,177
7/7/2015;551,49;27417081;0,0;8768,29536;-217924,2954
8/7/2015;551,26;27207925;0,0;-2588,36688;-187450,6331
9/7/2015;551,05;27017886;0,0;9267,58368;-189433,5837
10/7/2015;550,85;26837720;0,2;3004,526304;-173420,5263
11/7/2015;550,66;26667304;0,0;7731,418464;-204154,4185
12/7/2015;550,44;26470881;0,0;-885,34512;-176843,6549
13/7/2015;550,24;26293152;0,0;3750,839136;-189509,8391
14/7/2015;550,03;26107393;0,0;9055,35936;-193940,3594
15/7/2015;549,82;25922508;0,0;-244,3671072;-175025,6329
16/7/2015;549,62;25747238;0,0;952,872768;-192836,8728
17/7/2015;549,4;25555354;0,0;3322,187136;-194254,1871
18/7/2015;549,18;25364422;0,0;-1320,816672;-197273,1833
19/7/2015;548,95;25165828;0,0;5916,05424;-194907,0542
20/7/2015;548,73;24976837;0,0;7012,382112;-212106,3821
21/7/2015;548,49;24771743;0,0;-1275,097248;-194220,9028
22/7/2015;548,26;24576247;0,4;2114,783424;-196582,7834
23/7/2015;548,03;24381779;0,0;-10991,48832;-190840,5117
24/7/2015;547,79;24179947;7,2;5433,633792;-197811,6338
25/7/2015;547,56;23987569;0,6;6616,4688;-189677,4688
26/7/2015;547,34;23804508;0,0;-7168,233888;-183220,7661
27/7/2015;547,11;23614119;0,0;14786,28;-204161,28
28/7/2015;546,88;23424744;0,0;-8589,570048;-187943,43
29/7/2015;546,64;23228211;0,0;101,2494816;-179292,2495
30/7/2015;546,42;23049020;0,0;-689,1140448;-193744,886
31/7/2015;546,18;22854586;7,0;292,9869792;-161487,987
1/8/2015;545,98;22693391;9,0;8257,493376;-168697,4934
2/8/2015;545,78;22532951;0,2;7750,982016;-167436,982
3/8/2015;545,58;22373265;0,2;4953,907296;-179740,9073
4/8/2015;545,36;22198478;0,0;1018,174752;-174898,1748
5/8/2015;545,14;22024598;0,0;-4080,484512;-176736,5155
6/8/2015;544,91;21843781;0,0;4183,353216;-191811,3532
7/8/2015;544,67;21656153;0,0;-709,328448;-185848,6716
8/8/2015;544,43;21469595;0,0;-35,1811296;-185455,8189
9/8/2015;544,19;21284104;0,0;-2597,138208;-174166,8618
10/8/2015;543,96;21107340;17,4;21213,792;-181756,792
11/8/2015;543,75;20946797;0,2;-5103,432864;-162216,5671
12/8/2015;543,53;20779477;0,0;1096,076448;-190156,0764
13/8/2015;543,28;20590417;0,0;6544,288512;-186969,2885
14/8/2015;543,04;20409992;4,2;1095,555456;-195373,5555
15/8/2015;542,78;20215714;0,0;-1936,048608;-161494,9514
16/8/2015;542,56;20052283;8,4;-3740,033088;-158815,9669
17/8/2015;542,34;19889727;0,0;5201,591904;-181540,5919
18/8/2015;542,1;19713388;0,0;-1810,213056;-166208,7869
19/8/2015;541,87;19545369;3,4;-89,2134432;-159738,7866
20/8/2015;541,65;19385541;0,0;5593,4064;-171760,4064
21/8/2015;541,42;19219374;0,0;-9652,45248;-155573,5475
22/8/2015;541,19;19054148;0,2;-15040,2096;-156366,7904
23/8/2015;540,95;18882741;0,0;19224,91584;-189611,9158
24/8/2015;540,71;18712354;3,4;265,3236;-148520,3236
25/8/2015;540,5;18564099;3,0;-5020,8768;-163462,1232
26/8/2015;540,26;18395616;0,0;6091,612992;-180521,613
27/8/2015;540,01;18221186;0,0;4516,306848;-170939,3068
28/8/2015;539,77;18054763;0,0;-4772,405088;-167518,5949
29/8/2015;539,52;17882472;0,2;1589,825664;-179619,8257
30/8/2015;539,26;17704442;0,0;-3423,206016;-159873,794
31/8/2015;539,02;17541145;0,0;3974,954688;-179757,9547
1/9/2015;538,76;17365362;0,0;-14080,14144;-147148,8586
2/9/2015;538,52;17204133;0,0;1354,73904;-161597,739
3/9/2015;538,28;17043890;0,6;-3580,86528;-168904,1347
4/9/2015;538,02;16871405;0,8;4489,833024;-156113,833
5/9/2015;537,79;16719781;5,4;-5167,279872;-158622,7201
6/9/2015;537,54;16555991;0,2;4951,572768;-148212,5728
7/9/2015;537,32;16412730;0,0;-3614,887008;-164641,113
8/9/2015;537,06;16244474;0,0;2671,265088;-137741,2651
9/9/2015;536,85;16109404;0,0;-15753,38976;-131332,6102
10/9/2015;536,62;15962318;0,0;9054,84096;-186923,841
11/9/2015;536,34;15784449;0,0;-5960,1528;-158035,8472
12/9/2015;536,08;15620453;0,0;-345,5903232;-150040,4097
13/9/2015;535,84;15470067;3,2;2731,299264;-127327,2993
14/9/2015;535,64;15345471;8,8;-2010,073536;-140458,9265
15/9/2015;535,41;15203002;0,0;6561,091584;-142024,0916
16/9/2015;535,19;15067539;0,0;-2252,18016;-138520,8198
17/9/2015;534,96;14926766;0,0;3056,1408;-149030,1408
18/9/2015;534,72;14780792;0,0;-7743,60432;-149337,3957
19/9/2015;534,46;14623711;0,0;6022,662336;-156028,6623
20/9/2015;534,21;14473705;0,2;-7295,56416;-100084,4358
21/9/2015;534,03;14366325;0,2;451,82016;-148725,8202
22/9/2015;533,78;14218051;0,0;6713,960832;-159854,9608
23/9/2015;533,52;14064910;3,2;-1010,402208;-139390,5978
24/9/2015;533,28;13924509;10,2;3564,94608;-108263,9461
25/9/2015;533,1;13819810;1,4;7801,67376;-129300,6738
26/9/2015;532,89;13698311;0,2;-4354,8624;-127913,1376
27/9/2015;532,66;13566043;0,0;1749,128256;-133183,1283
28/9/2015;532,43;13434609;0,8;-5263,087968;-119676,912
29/9/2015;532,21;13309669;2,6;4035,659328;-128216,6593
30/9/2015;531,99;13185488;4,0;2435,593536;-125859,5935
1/10/2015;531,77;13062064;29,2;55804,99104;-83750,99104
2/10/2015;531,72;13034118;21,0;118661,76;-113075,76
3/10/2015;531,73;13039704;0,2;52698,58272;-153009,5827
4/10/2015;531,55;12939393;15,2;112931,7984;-96247,7984
5/10/2015;531,58;12956077;0,2;55498,77216;-138776,7722
6/10/2015;531,43;12872799;1,6;21995,53056;-126979,5306
7/10/2015;531,24;12767815;0,4;17408,59776;-121835,5978
8/10/2015;531,05;12663388;0,2;13551,0624;-133770,0624
9/10/2015;530,83;12543169;0,2;3853,763136;-112499,7631
10/10/2015;530,63;12434523;57,4;306753,264;48593,736
11/10/2015;531,28;12789870;5,6;383645,2032;-245236,2032
12/10/2015;531,53;12928279;0,2;104190,5376;-154129,5376
13/10/2015;531,44;12878340;31,0;252195,2064;32455,7936
14/10/2015;531,95;13162991;20,4;397212,1632;172750,8368
15/10/2015;532,95;13732954;16,2;802044,3744;-464218,3744
16/10/2015;533,53;14070780;8,2;303235,8336;-173689,8336
17/10/2015;533,75;14200326;0,0;152650,9152;-140835,9152
18/10/2015;533,77;14212141;2,0;102115,3824;-113930,3824
19/10/2015;533,75;14200326;10,2;149737,9392;-126100,9392
20/10/2015;533,79;14223963;0,4;95679,2736;-125221,2736
21/10/2015;533,74;14194421;0,0;64099,06272;-117175,0627
22/10/2015;533,65;14141345;0,0;61917,0912;-114862,0912
23/10/2015;533,56;14088400;0,0;54427,87872;-101381,8787
24/10/2015;533,48;14041446;0,4;37316,25504;-101710,255
25/10/2015;533,37;13977052;0,2;37694,85984;-101896,8598
26/10/2015;533,26;13912850;0,2;35953,20864;-99962,20864
27/10/2015;533,15;13848841;0,2;26725,69728;-102124,6973
28/10/2015;533,02;13773442;22,0;148452,5664;396873,4336
29/10/2015;533,95;14318768;25,0;998828,928;-536804,928
30/10/2015;534,72;14780792;1,0;246627,072;-155503,072
31/10/2015;534,87;14871916;0,0;152353,44;-140176,44
1/11/2015;534,89;14884093;0,2;97595,6256;-115859,6256
2/11/2015;534,86;14865829;0,0;84268,54656;-102517,5466
3/11/2015;534,83;14847580;0,0;70024,68576;-112548,6858
4/11/2015;534,76;14805056;0,2;64418,83776;-106862,8378
5/11/2015;534,69;14762612;0,0;54871,11936;-115368,1194
6/11/2015;534,59;14702115;0,4;45344,18016;-117726,1802
7/11/2015;534,47;14629733;0,2;43579,87488;-109725,8749
8/11/2015;534,36;14563587;0,0;41740,67808;-113675,6781
9/11/2015;534,24;14491652;0,0;34107,0048;-99843,0048
10/11/2015;534,13;14425916;0,0;28181,44224;-99671,44224
11/11/2015;534,01;14354426;0,0;32680,2816;-103938,2816
12/11/2015;533,89;14283168;0,4;28375,25472;-111217,2547
13/11/2015;533,75;14200326;0,2;27449,22816;-121741,2282
14/11/2015;533,59;14106034;0,2;27290,48544;-115316,4854
15/11/2015;533,44;14018008;0,2;30148,9776;-123647,9776
16/11/2015;533,28;13924509;0,0;23158,656;-110443,656
17/11/2015;533,13;13837224;0,0;13282,10784;-94426,10784
18/11/2015;532,99;13756080;0,2;22873,25952;-115227,2595
19/11/2015;532,83;13663726;0,2;21308,73696;-118991,737
20/11/2015;532,66;13566043;1,0;11429,63136;-114361,6314
21/11/2015;532,48;13463111;41,6;343802,1024;94284,8976
22/11/2015;533,24;13901198;18,4;502120,6848;-267862,6848
23/11/2015;533,64;14135456;9,8;220177,6992;-125757,6992
24/11/2015;533,8;14229876;0,8;200463,552;-117509,552
25/11/2015;533,94;14312830;0,0;180590,9472;-121143,9472
26/11/2015;534,04;14372277;15,2;187749,5328;-98278,5328
27/11/2015;534,19;14461748;5,0;201532,4928;-117698,4928
28/11/2015;534,33;14545582;0,2;166120,6752;-136103,6752
29/11/2015;534,38;14575599;0,2;141746,4576;-81590,4576
30/11/2015;534,48;14635755;0,0;292665,0528;-74758,0528
1/12/2015;534,84;14853662;0,0;308530,6848;-143716,6848
2/12/2015;535,11;15018476;0,2;220044,7296;-134115,7296
3/12/2015;535,25;15104405;0,2;153111,4272;-110027,4272
4/12/2015;535,32;15147489;0,4;102414,24;-114732,24
5/12/2015;535,3;15135171;0,0;102953,376;-109110,376
6/12/2015;535,29;15129014;0,2;77705,83584;-96164,83584
7/12/2015;535,26;15110555;0,0;76952,94624;-101543,9462
8/12/2015;535,22;15085964;0,2;58994,97408;-83558,97408
9/12/2015;535,18;15061400;0,4;62162,69184;-92830,69184
10/12/2015;535,13;15030732;0,2;57937,99968;-94685,99968
11/12/2015;535,07;14993984;0,0;52882,79616;-83460,79616
12/12/2015;535,02;14963406;0,2;51073,26912;-93814,26912
13/12/2015;534,95;14920665;0,2;40584,61152;-77156,61152
14/12/2015;534,89;14884093;0,0;46370,74176;-76801,74176
15/12/2015;534,84;14853662;0,2;42315,01344;-84851,01344
16/12/2015;534,77;14811126;0,0;37049,82336;-79505,82336
17/12/2015;534,7;14768670;0,2;36551,27808;-84974,27808
18/12/2015;534,62;14720247;0,2;40106,41344;-94459,41344
19/12/2015;534,53;14665894;0,2;32898,76128;-87119,76128
20/12/2015;534,44;14611673;0,4;25609,27104;-79698,27104
21/12/2015;534,35;14557584;0,0;35782,27488;-89741,27488
22/12/2015;534,26;14503625;0,0;32804,93088;-80657,93088
23/12/2015;534,18;14455772;0,0;23011,53408;-76723,53408
24/12/2015;534,09;14402060;0,0;27840,672;-75474,672
25/12/2015;534,01;14354426;0,0;21319,9776;-68850,9776
26/12/2015;533,93;14306895;0,4;33097,27392;-80526,27392
27/12/2015;533,85;14259466;0,0;19425,2256;-60840,2256
28/12/2015;533,78;14218051;0,0;29533,10112;-82666,10112
29/12/2015;533,69;14164918;0,0;20665,30752;-79549,30752
30/12/2015;533,59;14106034;0,0;21082,15296;-73941,15296
31/12/2015;533,5;14053175;0,0;14349,12192;-84626,12192
1/1/2016;533,38;13982898;0,0;22586,07456;-80975,07456
2/1/2016;533,28;13924509;28,4;63978,2496;76422,7504
3/1/2016;533,52;14064910;5,2;378411,696;-189776,696
4/1/2016;533,84;14253545;6,2;294213,7728;-56106,7728
5/1/2016;534,24;14491652;6,0;386723,808;-61177,808
6/1/2016;534,78;14817198;30,8;466337,6064;-24888,6064
7/1/2016;535,5;15258647;3,4;492588,432;52208,568
8/1/2016;536,37;15803444;0,6;703737,8496;-204593,8496
9/1/2016;537,15;16302588;2,0;407847,312;61982,688
10/1/2016;537,87;16772418;11,6;777342,7872;-197872,7872
11/1/2016;538,74;17351888;11,0;461839,6224;-61469,6224
12/1/2016;539,33;17752258;3,4;450463,9392;-120291,9392
13/1/2016;539,81;18082430;0,2;303550,5888;-116064,5888
14/1/2016;540,08;18269916;27,2;392568,768;413161,232
15/1/2016;541,22;19075646;6,0;1164427,488;-438645,488
16/1/2016;542,22;19801428;3,2;455047,1136;-152286,1136
17/1/2016;542,63;20104189;0,0;277565,7024;-91463,7024
18/1/2016;542,88;20290291;0,0;206736,7968;-87035,7968
19/1/2016;543,04;20409992;0,0;159486,0192;-84436,0192
20/1/2016;543,14;20485042;0,0;139324,4928;-49025,4928
21/1/2016;543,26;20575341;0,0;122909,4432;-100293,4432
22/1/2016;543,29;20597957;0,0;98711,9136;-76078,9136
23/1/2016;543,32;20620590;0,0;105599,9808;-67842,9808
24/1/2016;543,37;20658347;0,0;82684,6704;-82684,6704
25/1/2016;543,37;20658347;0,0;88224,9408;-57985,9408
26/1/2016;543,41;20688586;0,0;81397,44864;-66267,44864
27/1/2016;543,43;20703716;0,0;61128,37152;-68694,37152
28/1/2016;543,42;20696150;0,0;103786,704;-65937,704
29/1/2016;543,47;20733999;0,0;64783,1088;-64783,1088
30/1/2016;543,47;20733999;0,2;81816,2208;-66664,2208
31/1/2016;543,49;20749151;0,0;97580,0736;-59667,0736
1/2/2016;543,54;20787064;0,0;116677,4112;-71122,4112
2/2/2016;543,6;20832619;0,0;78358,48416;-47951,48416
3/2/2016;543,64;20863026;9,4;95915,1456;-65478,1456
4/2/2016;543,68;20893463;11,0;117423,7344;-147860,7344
5/2/2016;543,64;20863026;0,0;93442,3776;-108649,3776
6/2/2016;543,62;20847819;0,0;97827,3504;-90224,3504
7/2/2016;543,63;20855422;5,2;154056,1248;-9257,1248
8/2/2016;543,82;21000221;3,6;382980,1824;-91389,1824
9/2/2016;544,2;21291812;31,2;418463,1072;527847,8928
10/2/2016;545,41;22238123;16,4;1464744,384;-556220,384
11/2/2016;546,54;23146647;1,8;500879,2896;-115868,2896
12/2/2016;547,01;23531658;43,0;1129564,224;495994,776
13/2/2016;548,94;25157217;9,4;1508035,104;-336618,104
14/2/2016;550,28;26328634;29,0;2185360,128;-137794,128
15/2/2016;552,53;28376200;33,2;1283566,176;293214,824
16/2/2016;554,19;29952981;29,4;1976794,848;-222263,848
17/2/2016;555,97;31707512;21,6;1619187,84;-624569,84
18/2/2016;556,95;32702130;1,0;826321,9104;-393757,9104
19/2/2016;557,37;33134694;0,6;428680,2528;-449364,2528
20/2/2016;557,35;33114010;0,4;304310,2176;-345653,2176
21/2/2016;557,31;33072667;0,0;260733,9456;-291718,9456
22/2/2016;557,28;33041682;0,0;249681,4848;-301279,4848
23/2/2016;557,23;32990084;1,6;277208,4384;-194625,4384
24/2/2016;557,31;33072667;2,2;187827,3792;-167160,3792
25/2/2016;557,33;33093334;16,6;284258,2464;-294593,2464
26/2/2016;557,32;33082999;6,2;246646,944;-298287,944
27/2/2016;557,27;33031358;18,8;691119,9936;-804540,9936
28/2/2016;557,16;32917937;25,2;649504,4832;-649504,4832
29/2/2016;557,16;32917937;18,4;1162808,352;-1028737,352
1/3/2016;557,29;33052008;1,2;517227,6384;-568836,6384
2/3/2016;557,24;33000399;2,8;270292,3776;-321847,3776
3/3/2016;557,19;32948844;13,2;373467,6288;-239312,6288
4/3/2016;557,32;33082999;0,4;368276,1984;-357941,1984
5/3/2016;557,33;33093334;28,2;465041,1744;-506367,1744
6/3/2016;557,29;33052008;11,8;677237,5872;-656578,5872
7/3/2016;557,31;33072667;0,8;300511,4688;-331496,4688
8/3/2016;557,28;33041682;15,4;239249,8944;-301160,8944
9/3/2016;557,22;32979771;21,0;417511,7568;-272931,7568
10/3/2016;557,36;33124351;2,0;361431,8496;-340742,8496
11/3/2016;557,38;33145040;19,0;459897,9552;-459897,9552
12/3/2016;557,38;33145040;1,6;367675,632;-409044,632
13/3/2016;557,34;33103671;3,4;288879,4368;-319883,4368
14/3/2016;557,31;33072667;2,0;313826,0544;-293159,0544
